clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
6,3.88,20,0,0,01/06/1970 20:15,1,30,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.15
7,4.12,20,0,0,01/06/1970 20:15,1,29,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.6
7,4.64,20,0,0,01/06/1970 20:15,1,30,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.77
8,4.5,20,0,0,01/06/1970 20:15,1,29,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.85
7,3.97,20,0,0,01/06/1970 20:15,1,31,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.64
4,3.84,20,0,0,01/06/1970 20:15,1,32,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",303.09
2,3.64,20,0,0,01/06/1970 20:15,1,37,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",301.62
3,2.26,20,0,0,01/06/1970 20:15,1,46,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",299.07
3,1.52,20,0,0,01/06/1970 20:15,1,53,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",296.4
4,1.07,20,0,0,01/06/1970 20:15,1,61,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",293.46
7,0.54,20,0,0,01/06/1970 20:15,1,63,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",292.45
7,0.51,20,0,0,01/06/1970 20:15,1,64,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",291.88
6,0.52,20,0,0,01/06/1970 20:15,1,65,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",291.29
6,0.28,20,0,0,01/06/1970 20:15,1,67,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",290.75
6,0.76,20,0,0,01/06/1970 20:15,1,69,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",290.38
6,0.62,20,0,0,01/06/1970 20:15,1,68,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",290.38
8,0.77,20,0,0,01/06/1970 20:15,1,64,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",292.02
8,1.0,20,0,0,01/06/1970 20:15,1,57,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",293.39
8,1.05,20,0,0,01/06/1970 20:15,1,52,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",294.89
17,1.11,20,0,0,01/06/1970 20:15,1,47,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",296.64
28,1.4,20,0,0,01/06/1970 20:15,1,41,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",298.51
40,2.06,20,0,0,01/06/1970 20:15,1,38,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",299.77
79,2.3,20,0,0,01/06/1970 20:15,1,36,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",301.02
87,2.28,20,0,0,01/06/1970 20:15,1,34,"viirs_point_504955_2023-07-13 00:00:00_64.73853,-125.32053",294.75
