clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
6,3.71,0,0,0,01/07/1970 00:46,2,28,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.4
5,3.55,0,0,0,01/07/1970 00:46,2,28,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.7
4,3.52,0,0,0,01/07/1970 00:46,2,28,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.86
3,3.79,0,0,0,01/07/1970 00:46,2,28,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.75
0,3.82,0,0,0,01/07/1970 00:46,2,29,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.45
2,3.79,0,0,0,01/07/1970 00:46,2,31,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",300.9
2,3.01,0,0,0,01/07/1970 00:46,2,39,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",299.37
4,3.75,0,0,0,01/07/1970 00:46,2,45,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",296.83
4,4.06,0,0,0,01/07/1970 00:46,2,51,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",294.2
4,2.33,0,0,0,01/07/1970 00:46,2,57,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",292.0
3,2.21,0,0,0,01/07/1970 00:46,2,59,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",291.27
5,2.14,0,0,0,01/07/1970 00:46,2,60,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",290.65
5,2.18,0,0,0,01/07/1970 00:46,2,60,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",290.13
6,2.18,0,0,0,01/07/1970 00:46,2,60,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",290.03
5,2.34,0,0,0,01/07/1970 00:46,2,57,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",290.98
14,2.23,0,0,0,01/07/1970 00:46,2,56,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",292.77
12,2.81,0,0,0,01/07/1970 00:46,2,51,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",294.35
9,3.47,0,0,0,01/07/1970 00:46,2,46,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",295.86
7,4.59,0,0,0,01/07/1970 00:46,2,43,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",297.1
6,5.48,0,0,0,01/07/1970 00:46,2,42,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",297.92
6,6.11,0,0,0,01/07/1970 00:46,2,41,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",298.78
6,5.59,0,0,0,01/07/1970 00:46,2,37,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",300.05
0,5.27,0,0,0,01/07/1970 00:46,2,34,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.0
0,5.41,0,0,0,01/07/1970 00:46,2,32,"viirs_point_521210_2023-07-17 00:00:00_66.19507,157.35454",301.63
