clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
7,2.0,14,0,0,01/07/1970 14:03,2,19,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",306.19
22,1.91,14,0,0,01/07/1970 14:03,2,19,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",305.75
21,1.89,14,0,0,01/07/1970 14:03,2,20,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",304.96
20,1.2,14,0,0,01/07/1970 14:03,2,25,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",301.5
17,1.18,14,0,0,01/07/1970 14:03,2,28,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",299.0
15,1.07,14,0,0,01/07/1970 14:03,2,30,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",298.02
5,0.81,14,0,0,01/07/1970 14:03,2,31,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",297.45
3,0.83,14,0,0,01/07/1970 14:03,2,32,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",296.82
4,0.94,14,0,0,01/07/1970 14:03,2,33,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",296.27
3,1.48,14,0,0,01/07/1970 14:03,2,35,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",295.33
3,0.13,14,0,0,01/07/1970 14:03,2,36,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",294.66
3,0.31,14,0,0,01/07/1970 14:03,2,40,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",293.61
2,0.28,14,0,0,01/07/1970 14:03,2,41,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",293.22
4,0.74,14,0,0,01/07/1970 14:03,2,41,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",293.03
4,1.01,14,0,0,01/07/1970 14:03,2,41,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",292.66
1,0.87,14,0,0,01/07/1970 14:03,2,41,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",292.31
2,1.42,14,0,0,01/07/1970 14:03,2,41,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",292.52
3,3.41,14,0,0,01/07/1970 14:03,2,31,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",295.43
8,4.41,14,0,0,01/07/1970 14:03,2,27,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",297.78
15,4.39,14,0,0,01/07/1970 14:03,2,24,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",299.92
12,4.1,14,0,0,01/07/1970 14:03,2,21,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",301.82
11,3.73,14,0,0,01/07/1970 14:03,2,19,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",303.25
10,3.12,14,0,0,01/07/1970 14:03,2,17,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",304.29
9,2.84,14,0,0,01/07/1970 14:03,2,17,"viirs_point_569005_2023-07-27 00:00:00_-7.5191,25.94141",304.86
