clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
0,0.61,20,0,0,01/07/1970 20:38,2,65,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",293.34
0,0.79,20,0,0,01/07/1970 20:38,2,67,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",292.79
0,0.66,20,0,0,01/07/1970 20:38,2,67,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",292.64
0,0.55,20,0,0,01/07/1970 20:38,2,68,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",292.43
0,0.63,20,0,0,01/07/1970 20:38,2,67,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",292.99
0,0.67,20,0,0,01/07/1970 20:38,2,52,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",297.26
0,1.12,20,0,0,01/07/1970 20:38,2,41,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",301.61
0,1.44,20,0,0,01/07/1970 20:38,2,34,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",304.71
0,1.74,20,0,0,01/07/1970 20:38,2,30,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",306.54
0,1.81,20,0,0,01/07/1970 20:38,2,26,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",307.81
0,1.67,20,0,0,01/07/1970 20:38,2,24,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",308.72
0,1.81,20,0,0,01/07/1970 20:38,2,22,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",308.76
0,1.89,20,0,0,01/07/1970 20:38,2,21,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",308.64
0,1.9,20,0,0,01/07/1970 20:38,2,22,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",307.95
2,1.86,20,0,0,01/07/1970 20:38,2,25,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",306.51
3,1.37,20,0,0,01/07/1970 20:38,2,35,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",300.93
4,1.06,20,0,0,01/07/1970 20:38,2,38,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",299.02
3,0.75,20,0,0,01/07/1970 20:38,2,45,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",297.0
0,0.63,20,0,0,01/07/1970 20:38,2,48,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",296.1
0,0.12,20,0,0,01/07/1970 20:38,2,49,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",295.72
0,0.7,20,0,0,01/07/1970 20:38,2,50,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",295.47
0,0.67,20,0,0,01/07/1970 20:38,2,52,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",294.85
0,0.54,20,0,0,01/07/1970 20:38,2,54,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",293.99
0,1.28,20,0,0,01/07/1970 20:38,2,56,"viirs_point_592724_2023-08-02 00:00:00_-16.06302,-62.09326",293.8
