clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
58,1.57,1,0,0,01/07/1970 01:43,2,43,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",307.23
74,1.99,1,0,0,01/07/1970 01:43,2,53,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",305.53
82,2.2,1,0,0,01/07/1970 01:43,2,64,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",303.23
82,1.25,1,0,0,01/07/1970 01:43,2,74,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",301.3
85,1.05,1,0,0,01/07/1970 01:43,2,78,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",299.77
67,0.48,1,0,0,01/07/1970 01:43,2,80,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",298.7
89,0.57,1,0,0,01/07/1970 01:43,2,80,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",298.66
94,0.89,1,0,0,01/07/1970 01:43,2,83,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",298.3
96,0.84,1,0,0,01/07/1970 01:43,2,85,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",298.06
97,0.93,1,0,0,01/07/1970 01:43,2,85,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",297.95
98,0.73,1,0,0,01/07/1970 01:43,2,85,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",297.76
84,0.79,1,0,0,01/07/1970 01:43,2,98,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.94
91,0.65,1,0,0,01/07/1970 01:43,2,99,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.79
90,0.45,1,0,0,01/07/1970 01:43,2,99,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.68
85,0.84,1,0,0,01/07/1970 01:43,2,99,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.4
78,0.8,1,0,0,01/07/1970 01:43,2,99,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.14
72,0.91,1,0,0,01/07/1970 01:43,2,99,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",295.07
75,1.03,1,0,0,01/07/1970 01:43,2,93,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",296.85
55,1.51,1,0,0,01/07/1970 01:43,2,82,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",298.96
46,2.12,1,0,0,01/07/1970 01:43,2,63,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",301.99
48,2.36,1,0,0,01/07/1970 01:43,2,54,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",303.82
60,2.45,1,0,0,01/07/1970 01:43,2,49,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",305.16
62,2.32,1,0,0,01/07/1970 01:43,2,46,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",306.1
41,2.33,1,0,0,01/07/1970 01:43,2,43,"viirs_point_524620_2023-07-18 00:00:00_0.21965,111.14063",306.85
