clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
1,3.92,12,0,0,01/11/1970 12:30,6,12,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",309.64
2,3.76,12,0,0,01/11/1970 12:30,6,11,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",309.48
6,3.66,12,0,0,01/11/1970 12:30,6,11,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",308.76
6,3.23,12,0,0,01/11/1970 12:30,6,12,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",307.35
5,2.35,12,0,0,01/11/1970 12:30,6,16,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",302.15
7,2.21,12,0,0,01/11/1970 12:30,6,19,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",299.98
7,2.08,12,0,0,01/11/1970 12:30,6,21,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",299.01
7,1.99,12,0,0,01/11/1970 12:30,6,23,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",298.31
5,1.96,12,0,0,01/11/1970 12:30,6,29,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",297.33
5,2.03,12,0,0,01/11/1970 12:30,6,30,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",296.91
5,2.12,12,0,0,01/11/1970 12:30,6,32,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",296.39
8,2.09,12,0,0,01/11/1970 12:30,6,34,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",295.66
17,2.07,12,0,0,01/11/1970 12:30,6,36,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",295.32
31,2.16,12,0,0,01/11/1970 12:30,6,37,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",295.01
100,2.29,12,0,0,01/11/1970 12:30,6,38,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",294.71
59,2.28,12,0,0,01/11/1970 12:30,6,40,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",294.26
46,2.71,12,0,0,01/11/1970 12:30,6,40,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",294.32
29,4.53,12,0,0,01/11/1970 12:30,6,35,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",298.12
24,5.07,12,0,0,01/11/1970 12:30,6,31,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",301.38
21,4.75,12,0,0,01/11/1970 12:30,6,26,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",304.3
17,3.98,12,0,0,01/11/1970 12:30,6,23,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",306.47
11,3.26,12,0,0,01/11/1970 12:30,6,19,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",308.53
9,3.19,12,0,0,01/11/1970 12:30,6,16,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",309.88
8,3.11,12,0,0,01/11/1970 12:30,6,15,"viirs_point_909023_2023-10-03 00:00:00_-9.37119,-43.47892",310.63
