clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
3,3.08,19,0,0,01/11/1970 19:23,6,18,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",307.64
4,3.58,19,0,0,01/11/1970 19:23,6,17,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",307.7
10,3.59,19,0,0,01/11/1970 19:23,6,17,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",307.33
16,3.34,19,0,0,01/11/1970 19:23,6,18,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",306.53
26,2.84,19,0,0,01/11/1970 19:23,6,19,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",305.07
33,2.92,19,0,0,01/11/1970 19:23,6,25,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",301.69
40,3.49,19,0,0,01/11/1970 19:23,6,31,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",299.94
33,3.08,19,0,0,01/11/1970 19:23,6,43,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",297.04
0,2.46,19,0,0,01/11/1970 19:23,6,47,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",295.83
0,2.3,19,0,0,01/11/1970 19:23,6,49,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",295.06
0,1.48,19,0,0,01/11/1970 19:23,6,51,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",294.37
0,0.93,19,0,0,01/11/1970 19:23,6,53,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",293.77
0,0.94,19,0,0,01/11/1970 19:23,6,54,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",293.37
2,1.14,19,0,0,01/11/1970 19:23,6,59,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",292.46
20,1.18,19,0,0,01/11/1970 19:23,6,60,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",292.01
15,1.14,19,0,0,01/11/1970 19:23,6,62,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",291.53
12,1.14,19,0,0,01/11/1970 19:23,6,63,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",291.13
12,1.29,19,0,0,01/11/1970 19:23,6,61,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",291.78
12,1.73,19,0,0,01/11/1970 19:23,6,47,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",295.85
22,2.33,19,0,0,01/11/1970 19:23,6,36,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",299.17
11,2.22,19,0,0,01/11/1970 19:23,6,29,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",302.13
13,2.37,19,0,0,01/11/1970 19:23,6,23,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",304.5
39,2.85,19,0,0,01/11/1970 19:23,6,18,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",306.17
54,3.52,19,0,0,01/11/1970 19:23,6,16,"viirs_point_933838_2023-10-09 00:00:00_-10.3063,32.44366",307.11
