clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
0,1.89,8,0,0,2022-12-16 08:00:00,4,12,"viirs_point_22699_16/12/2022_9.78415,-0.70861",300.04
0,2.48,9,0,0,2022-12-16 09:00:00,4,10,"viirs_point_22699_16/12/2022_9.78415,-0.70861",302.8
2,2.6,10,0,0,2022-12-16 10:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",305.13
12,2.27,11,0,0,2022-12-16 11:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",306.83
23,1.95,12,0,0,2022-12-16 12:00:00,4,7,"viirs_point_22699_16/12/2022_9.78415,-0.70861",308.27
77,1.5,13,0,0,2022-12-16 13:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",309.26
75,1.55,14,1,0,2022-12-16 14:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",309.67
83,1.7,15,0,0,2022-12-16 15:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",309.62
87,1.59,16,0,0,2022-12-16 16:00:00,4,8,"viirs_point_22699_16/12/2022_9.78415,-0.70861",309.35
90,1.51,17,0,0,2022-12-16 17:00:00,4,9,"viirs_point_22699_16/12/2022_9.78415,-0.70861",308.09
77,1.36,18,0,0,2022-12-16 18:00:00,4,10,"viirs_point_22699_16/12/2022_9.78415,-0.70861",304.84
42,1.26,19,0,0,2022-12-16 19:00:00,4,12,"viirs_point_22699_16/12/2022_9.78415,-0.70861",303.28
71,1.37,20,0,0,2022-12-16 20:00:00,4,12,"viirs_point_22699_16/12/2022_9.78415,-0.70861",302.66
80,1.53,21,0,0,2022-12-16 21:00:00,4,13,"viirs_point_22699_16/12/2022_9.78415,-0.70861",301.98
85,2.34,22,0,0,2022-12-16 22:00:00,4,13,"viirs_point_22699_16/12/2022_9.78415,-0.70861",301.29
80,2.37,23,0,0,2022-12-16 23:00:00,4,15,"viirs_point_22699_16/12/2022_9.78415,-0.70861",300.27
