clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
46,6.4,22,0,0,2022-12-15 22:00:00,3,26,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",304.03
56,7.68,23,0,0,2022-12-15 23:00:00,3,32,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",303.48
63,7.67,0,0,0,2022-12-16 00:00:00,4,38,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",301.81
65,7.75,1,0,0,2022-12-16 01:00:00,4,43,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",298.1
37,8.35,2,0,0,2022-12-16 02:00:00,4,52,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",295.48
25,7.87,3,0,0,2022-12-16 03:00:00,4,51,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",294.45
19,7.78,4,0,0,2022-12-16 04:00:00,4,51,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",295.14
15,7.19,5,0,0,2022-12-16 05:00:00,4,50,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",293.48
14,6.35,6,0,0,2022-12-16 06:00:00,4,55,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",291.81
1,5.65,7,0,0,2022-12-16 07:00:00,4,58,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",290.7
24,5.56,8,0,0,2022-12-16 08:00:00,4,59,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",288.45
16,5.12,9,0,0,2022-12-16 09:00:00,4,59,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",287.11
12,5.58,10,0,0,2022-12-16 10:00:00,4,51,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",288.44
10,6.19,11,0,0,2022-12-16 11:00:00,4,37,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",291.4
8,6.14,12,0,0,2022-12-16 12:00:00,4,27,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",294.48
0,5.98,13,0,0,2022-12-16 13:00:00,4,24,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",297.16
0,6.02,14,0,0,2022-12-16 14:00:00,4,23,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",299.4
0,6.73,15,0,0,2022-12-16 15:00:00,4,21,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",301.12
0,7.08,16,0,0,2022-12-16 16:00:00,4,19,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",302.3
0,7.17,17,1,0,2022-12-16 17:00:00,4,18,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",303.06
0,6.83,18,0,0,2022-12-16 18:00:00,4,17,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",303.45
0,6.51,19,0,0,2022-12-16 19:00:00,4,17,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",303.36
0,6.6,20,0,0,2022-12-16 20:00:00,4,17,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",300.7
0,6.68,21,0,0,2022-12-16 21:00:00,4,17,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",300.7
0,6.2,22,0,0,2022-12-16 22:00:00,4,19,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",300.14
0,4.8,23,0,0,2022-12-16 23:00:00,4,23,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",299.03
0,4.55,0,0,0,2022-12-17 00:00:00,5,25,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",295.83
0,4.35,1,0,0,2022-12-17 01:00:00,5,30,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",292.96
0,4.77,2,0,0,2022-12-17 02:00:00,5,32,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",292.21
1,6.21,3,0,0,2022-12-17 03:00:00,5,38,"viirs_point_22911_16/12/2022_-31.0417,-57.78363",292.44
