clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
1,1.6,8,0,0,2022-12-05 08:00:00,0,33,"viirs_point_541_05/12/2022_-16.17594,33.77502",310.12
20,3.6,9,0,0,2022-12-05 09:00:00,0,39,"viirs_point_541_05/12/2022_-16.17594,33.77502",310.2
0,1.34,10,0,0,2022-12-05 10:00:00,0,23,"viirs_point_541_05/12/2022_-16.17594,33.77502",314.12
0,1.12,11,0,0,2022-12-05 11:00:00,0,19,"viirs_point_541_05/12/2022_-16.17594,33.77502",315.13
1,1.44,12,1,0,2022-12-05 12:00:00,0,17,"viirs_point_541_05/12/2022_-16.17594,33.77502",315.26
40,0.0,13,0,0,2022-12-05 13:00:00,0,26,"viirs_point_541_05/12/2022_-16.17594,33.77502",314.2
26,1.09,14,0,0,2022-12-05 14:00:00,0,16,"viirs_point_541_05/12/2022_-16.17594,33.77502",314.12
32,3.78,15,0,0,2022-12-05 15:00:00,0,22,"viirs_point_541_05/12/2022_-16.17594,33.77502",311.31
37,4.36,16,0,0,2022-12-05 16:00:00,0,33,"viirs_point_541_05/12/2022_-16.17594,33.77502",307.24
40,5.14,17,0,0,2022-12-05 17:00:00,0,36,"viirs_point_541_05/12/2022_-16.17594,33.77502",308.2
34,1.79,18,0,0,2022-12-05 18:00:00,0,40,"viirs_point_541_05/12/2022_-16.17594,33.77502",304.13
40,1.54,19,0,0,2022-12-05 19:00:00,0,40,"viirs_point_541_05/12/2022_-16.17594,33.77502",306.2
40,2.57,20,0,0,2022-12-05 20:00:00,0,43,"viirs_point_541_05/12/2022_-16.17594,33.77502",305.2
1,0.6,21,0,0,2022-12-05 21:00:00,0,52,"viirs_point_541_05/12/2022_-16.17594,33.77502",300.58
