clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
22,3.43,18,0,0,01/04/1970 18:09,6,31,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",309.87
91,3.92,18,0,0,01/04/1970 18:09,6,33,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",308.71
95,3.03,18,0,0,01/04/1970 18:09,6,34,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",308.32
79,2.77,18,0,0,01/04/1970 18:09,6,32,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",309.01
63,2.97,18,0,0,01/04/1970 18:09,6,33,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",308.58
55,2.3,18,0,0,01/04/1970 18:09,6,37,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",306.64
42,1.79,18,0,0,01/04/1970 18:09,6,41,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",304.86
9,1.79,18,0,0,01/04/1970 18:09,6,42,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",304.53
10,3.46,18,0,0,01/04/1970 18:09,6,46,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",303.48
18,3.91,18,0,0,01/04/1970 18:09,6,53,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",301.93
26,3.81,18,0,0,01/04/1970 18:09,6,57,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",301.12
41,3.55,18,0,0,01/04/1970 18:09,6,60,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",300.92
55,3.42,18,0,0,01/04/1970 18:09,6,64,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",300.77
100,3.35,18,0,0,01/04/1970 18:09,6,68,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",300.1
86,3.47,18,0,0,01/04/1970 18:09,6,70,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",299.77
66,4.27,18,0,0,01/04/1970 18:09,6,67,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",299.88
71,4.5,18,0,0,01/04/1970 18:09,6,66,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",299.81
67,4.63,18,0,0,01/04/1970 18:09,6,66,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",299.97
88,5.62,18,0,0,01/04/1970 18:09,6,58,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",301.19
71,5.58,18,0,0,01/04/1970 18:09,6,51,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",303.15
82,5.48,18,0,0,01/04/1970 18:09,6,45,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",304.85
87,5.41,18,0,0,01/04/1970 18:09,6,38,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",306.67
78,5.39,18,0,0,01/04/1970 18:09,6,33,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",308.49
66,5.6,18,0,0,01/04/1970 18:09,6,30,"viirs_point_324589_2023-05-09 00:00:00_8.64406,-65.66456",309.6
