clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
64,3.2,21,0,0,01/04/1970 21:46,6,7,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",314.32
60,3.39,21,0,0,01/04/1970 21:46,6,7,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",314.01
68,2.77,21,0,0,01/04/1970 21:46,6,8,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",313.21
84,1.62,21,0,0,01/04/1970 21:46,6,10,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",310.96
11,1.09,21,0,0,01/04/1970 21:46,6,13,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",305.75
35,1.01,21,0,0,01/04/1970 21:46,6,14,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",304.3
43,1.37,21,0,0,01/04/1970 21:46,6,14,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",303.77
34,1.15,21,0,0,01/04/1970 21:46,6,14,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",303.2
28,1.13,21,0,0,01/04/1970 21:46,6,14,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",302.8
12,1.53,21,0,0,01/04/1970 21:46,6,17,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",301.72
13,1.55,21,0,0,01/04/1970 21:46,6,17,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",301.59
21,1.73,21,0,0,01/04/1970 21:46,6,17,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",301.58
16,2.12,21,0,0,01/04/1970 21:46,6,17,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",301.2
14,1.84,21,0,0,01/04/1970 21:46,6,18,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",300.78
12,1.79,21,0,0,01/04/1970 21:46,6,18,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",300.4
16,1.45,21,0,0,01/04/1970 21:46,6,20,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",299.23
7,1.56,21,0,0,01/04/1970 21:46,6,21,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",300.86
6,2.47,21,0,0,01/04/1970 21:46,6,17,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",305.48
21,4.31,21,0,0,01/04/1970 21:46,6,19,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",307.51
30,4.74,21,0,0,01/04/1970 21:46,6,18,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",309.18
26,4.31,21,0,0,01/04/1970 21:46,6,16,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",310.85
29,4.75,21,0,0,01/04/1970 21:46,6,13,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",313.16
11,4.4,21,0,0,01/04/1970 21:46,6,12,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",313.89
10,4.35,21,0,0,01/04/1970 21:46,6,11,"viirs_point_337616_2023-05-16 00:00:00_19.58034,80.95697",314.38
