clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
30,0.56,21,0,0,01/05/1970 21:29,0,14,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",305.19
22,1.17,21,0,0,01/05/1970 21:29,0,14,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",304.78
61,1.64,21,0,0,01/05/1970 21:29,0,14,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",303.92
71,1.87,21,0,0,01/05/1970 21:29,0,14,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",303.02
67,1.83,21,0,0,01/05/1970 21:29,0,20,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",300.37
56,1.9,21,0,0,01/05/1970 21:29,0,25,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",295.14
60,1.09,21,0,0,01/05/1970 21:29,0,35,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",292.6
69,0.26,21,0,0,01/05/1970 21:29,0,46,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",291.08
41,0.65,21,0,0,01/05/1970 21:29,0,52,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",290.24
41,0.76,21,0,0,01/05/1970 21:29,0,54,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",289.79
52,0.79,21,0,0,01/05/1970 21:29,0,58,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",289.21
62,0.85,21,0,0,01/05/1970 21:29,0,60,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",288.79
73,1.05,21,0,0,01/05/1970 21:29,0,53,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",288.08
100,0.7,21,0,0,01/05/1970 21:29,0,53,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",287.44
91,0.53,21,0,0,01/05/1970 21:29,0,54,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",286.79
74,1.05,21,0,0,01/05/1970 21:29,0,53,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",286.23
75,1.33,21,0,0,01/05/1970 21:29,0,49,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",285.97
75,1.75,21,0,0,01/05/1970 21:29,0,46,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",285.65
58,1.9,21,0,0,01/05/1970 21:29,0,39,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",286.78
52,2.08,21,0,0,01/05/1970 21:29,0,30,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",291.6
44,2.39,21,0,0,01/05/1970 21:29,0,25,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",295.63
32,2.87,21,0,0,01/05/1970 21:29,0,21,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",298.74
38,2.73,21,0,0,01/05/1970 21:29,0,18,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",301.12
42,2.37,21,0,0,01/05/1970 21:29,0,16,"viirs_point_422943_2023-06-21 00:00:00_-9.77185,15.35387",302.74
