clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
0,1.99,15,0,0,01/08/1970 15:14,3,20,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",310.46
0,1.79,15,0,0,01/08/1970 15:14,3,20,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",310.68
0,1.69,15,0,0,01/08/1970 15:14,3,19,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",310.39
1,1.71,15,0,0,01/08/1970 15:14,3,20,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",309.69
9,1.08,15,0,0,01/08/1970 15:14,3,30,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",305.98
20,1.19,15,0,0,01/08/1970 15:14,3,34,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",301.95
18,1.05,15,0,0,01/08/1970 15:14,3,36,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",300.4
29,0.73,15,0,0,01/08/1970 15:14,3,41,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",298.16
61,0.77,15,0,0,01/08/1970 15:14,3,44,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",297.11
57,0.36,15,0,0,01/08/1970 15:14,3,46,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",296.25
55,0.52,15,0,0,01/08/1970 15:14,3,49,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",295.47
53,0.42,15,0,0,01/08/1970 15:14,3,51,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",294.73
43,0.36,15,0,0,01/08/1970 15:14,3,53,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",294.06
61,0.28,15,0,0,01/08/1970 15:14,3,55,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",293.19
8,0.48,15,0,0,01/08/1970 15:14,3,56,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",292.88
6,0.82,15,0,0,01/08/1970 15:14,3,56,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",292.58
7,1.23,15,0,0,01/08/1970 15:14,3,57,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",292.17
11,0.73,15,0,0,01/08/1970 15:14,3,57,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",291.79
10,0.67,15,0,0,01/08/1970 15:14,3,51,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",294.56
56,1.32,15,0,0,01/08/1970 15:14,3,35,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",299.53
23,1.5,15,0,0,01/08/1970 15:14,3,27,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",303.62
12,1.68,15,0,0,01/08/1970 15:14,3,22,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",306.85
8,2.08,15,0,0,01/08/1970 15:14,3,19,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",308.9
6,2.36,15,0,0,01/08/1970 15:14,3,17,"viirs_point_659696_2023-08-15 00:00:00_-6.7563,-55.28906",309.81
