clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
86,3.02,22,0,0.0,01/12/1970 22:00,0,22,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",308.36
33,4.43,22,0,0.0,01/12/1970 22:00,0,22,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",308.84
40,6.87,22,0,0.0,01/12/1970 22:00,0,24,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",307.46
60,6.98,22,0,0.0,01/12/1970 22:00,0,27,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",305.54
69,5.62,22,0,0.0,01/12/1970 22:00,0,30,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",304.57
75,4.56,22,0,0.0,01/12/1970 22:00,0,32,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",303.93
78,2.85,22,0,0.0,01/12/1970 22:00,0,35,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",302.79
89,3.84,22,0,0.0,01/12/1970 22:00,0,37,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",302.89
93,4.36,22,0,0.0,01/12/1970 22:00,0,45,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",302.28
88,4.13,22,0,0.1,01/12/1970 22:00,0,52,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",301.38
72,3.81,22,0,0.1,01/12/1970 22:00,0,58,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",300.16
70,3.66,22,0,0.0,01/12/1970 22:00,0,64,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",299.12
69,2.67,22,0,0.0,01/12/1970 22:00,0,67,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",298.55
14,2.74,22,0,0.0,01/12/1970 22:00,0,68,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",298.23
13,1.08,22,0,0.0,01/12/1970 22:00,0,71,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",297.26
16,0.55,22,0,0.0,01/12/1970 22:00,0,62,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",299.37
58,1.17,22,0,0.0,01/12/1970 22:00,0,51,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",302.28
49,2.07,22,0,0.0,01/12/1970 22:00,0,39,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",304.74
29,3.19,22,0,0.0,01/12/1970 22:00,0,28,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",306.94
40,2.57,22,0,0.0,01/12/1970 22:00,0,22,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",308.47
49,2.47,22,0,0.0,01/12/1970 22:00,0,15,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",309.99
60,3.36,22,0,0.0,01/12/1970 22:00,0,12,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",311.2
68,4.85,22,0,0.0,01/12/1970 22:00,0,11,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",312.12
65,6.56,22,0,0.0,01/12/1970 22:00,0,9,"viirs_point_1029646_2023-11-01 00:00:00_-19.80683,138.9198",312.48
