clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
100,1.88,1,0,0,01/07/1970 01:41,2,42,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",298.22
79,1.7,1,0,0,01/07/1970 01:41,2,43,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",298.04
64,1.49,1,0,0,01/07/1970 01:41,2,45,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",297.54
43,1.28,1,0,0,01/07/1970 01:41,2,53,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",296.85
32,1.29,1,0,0,01/07/1970 01:41,2,66,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",294.81
26,1.45,1,0,0,01/07/1970 01:41,2,75,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",291.64
34,1.72,1,0,0,01/07/1970 01:41,2,79,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",289.16
4,1.49,1,0,0,01/07/1970 01:41,2,80,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",288.39
5,0.97,1,0,0,01/07/1970 01:41,2,80,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",287.96
5,1.25,1,0,0,01/07/1970 01:41,2,80,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",287.81
5,1.5,1,0,0,01/07/1970 01:41,2,79,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",287.65
5,1.36,1,0,0,01/07/1970 01:41,2,82,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",286.82
12,1.27,1,0,0,01/07/1970 01:41,2,80,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",285.79
6,1.21,1,0,0,01/07/1970 01:41,2,81,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",285.38
13,1.08,1,0,0,01/07/1970 01:41,2,80,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",286.17
16,0.54,1,0,0,01/07/1970 01:41,2,73,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",288.95
20,0.11,1,0,0,01/07/1970 01:41,2,64,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",291.26
18,0.71,1,0,0,01/07/1970 01:41,2,58,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",293.39
5,0.99,1,0,0,01/07/1970 01:41,2,52,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",295.12
0,1.61,1,0,0,01/07/1970 01:41,2,48,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",296.54
1,1.97,1,0,0,01/07/1970 01:41,2,44,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",297.63
1,2.35,1,0,0,01/07/1970 01:41,2,40,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",298.54
1,2.35,1,0,0,01/07/1970 01:41,2,37,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",299.22
1,2.01,1,0,0,01/07/1970 01:41,2,35,"viirs_point_524464_2023-07-18 00:00:00_54.62885,131.06735",299.66
