clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
74,0.89,15,0,0.0,01/07/1970 15:13,2,81,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",292.04
100,3.09,15,0,5.84,01/07/1970 15:13,2,89,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",290.37
70,1.36,15,0,0.0,01/07/1970 15:13,2,92,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",290.37
67,1.57,15,0,0.0,01/07/1970 15:13,2,82,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",292.59
0,0.0,15,0,0.0,01/07/1970 15:13,2,74,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",293.71
0,0.0,15,0,0.0,01/07/1970 15:13,2,69,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",294.26
100,1.83,15,0,0.0,01/07/1970 15:13,2,57,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",295.93
100,1.51,15,0,0.0,01/07/1970 15:13,2,55,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",297.59
99,1.21,15,0,0.0,01/07/1970 15:13,2,52,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",299.26
99,0.45,15,0,0.0,01/07/1970 15:13,2,49,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",299.82
99,0.41,15,0,0.0,01/07/1970 15:13,2,44,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",300.93
94,0.45,15,0,0.0,01/07/1970 15:13,2,41,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",300.93
99,0.57,15,0,0.0,01/07/1970 15:13,2,43,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",301.48
97,1.27,15,0,0.0,01/07/1970 15:13,2,39,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",302.04
92,2.22,15,0,0.0,01/07/1970 15:13,2,41,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",301.48
87,2.4,15,0,0.0,01/07/1970 15:13,2,52,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",300.37
82,1.51,15,0,0.0,01/07/1970 15:13,2,54,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",300.37
80,0.99,15,0,0.0,01/07/1970 15:13,2,70,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",298.15
0,0.0,15,0,0.0,01/07/1970 15:13,2,81,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",295.37
98,1.41,15,0,0.17,01/07/1970 15:13,2,88,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",293.15
80,1.75,15,0,0.56,01/07/1970 15:13,2,88,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",292.04
69,2.0,15,0,0.38,01/07/1970 15:13,2,82,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",291.48
59,2.08,15,0,0.11,01/07/1970 15:13,2,67,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",292.04
47,2.18,15,0,0.0,01/07/1970 15:13,2,92,"viirs_point_573200_2023-07-28 00:00:00_64.39248,-149.34879",288.16
