clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
21,2.27,1,0,0,01/12/1970 01:18,0,34,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",310.63
29,3.12,1,0,0,01/12/1970 01:18,0,33,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",310.53
38,2.96,1,0,0,01/12/1970 01:18,0,39,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",308.14
77,2.01,1,0,0,01/12/1970 01:18,0,40,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",307.55
84,1.07,1,0,0,01/12/1970 01:18,0,45,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",305.87
89,1.48,1,0,0,01/12/1970 01:18,0,48,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",304.35
91,2.52,1,0,0,01/12/1970 01:18,0,52,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",303.36
93,3.39,1,0,0,01/12/1970 01:18,0,60,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",302.68
93,2.16,1,0,0,01/12/1970 01:18,0,70,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",300.59
96,1.8,1,0,0,01/12/1970 01:18,0,78,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",299.31
98,2.01,1,0,0,01/12/1970 01:18,0,81,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",298.74
98,1.68,1,0,0,01/12/1970 01:18,0,84,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",298.2
95,1.24,1,0,0,01/12/1970 01:18,0,87,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",297.53
95,1.55,1,0,0,01/12/1970 01:18,0,89,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",297.16
87,1.68,1,0,0,01/12/1970 01:18,0,89,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",296.98
84,1.51,1,0,0,01/12/1970 01:18,0,93,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",296.55
91,1.43,1,0,0,01/12/1970 01:18,0,93,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",296.48
85,1.39,1,0,0,01/12/1970 01:18,0,93,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",296.24
83,1.92,1,0,0,01/12/1970 01:18,0,87,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",297.57
80,2.33,1,0,0,01/12/1970 01:18,0,73,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",300.17
87,2.24,1,0,0,01/12/1970 01:18,0,53,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",303.92
82,2.11,1,0,0,01/12/1970 01:18,0,44,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",306.79
77,1.89,1,0,0,01/12/1970 01:18,0,37,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",309.27
58,1.73,1,0,0,01/12/1970 01:18,0,31,"viirs_point_955097_2023-10-14 00:00:00_-2.68778,-49.52551",311.19
