viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688169600,287.45,60,2.36,0,99,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688173200,288.25,56,2.57,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688176800,290.34,47,2.75,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688180400,291.73,40,3.12,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688184000,291.74,39,3.49,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688187600,291.73,39,3.75,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688191200,291.78,38,3.83,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688194800,291.59,38,3.44,0,100,Clouds,overcast clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688198400,291.55,38,3.46,0,71,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688202000,291.07,40,3.16,0,49,Clouds,scattered clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688205600,289.34,50,2.07,0,37,Clouds,scattered clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688209200,286.23,57,1.51,0,31,Clouds,scattered clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688212800,284.18,67,1.6,0,27,Clouds,scattered clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688216400,283.28,70,1.21,0,24,Clouds,few clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688220000,282.72,72,1.09,0,51,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688223600,282.37,74,1.01,0,61,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688227200,282.71,70,1.08,0,71,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688230800,283.09,70,1.02,0,70,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688234400,285.02,65,0.82,0,77,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688238000,286.07,56,0.75,0,14,Clouds,few clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688241600,287.01,53,0.81,0,41,Clouds,scattered clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688245200,287.92,49,1.16,0,60,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688248800,288.8,45,1.36,0,70,Clouds,broken clouds,0
"viirs_point_457732_2023-07-02 00:00:00_62.98253,154.88991",1688252400,289.75,42,1.19,0,76,Clouds,broken clouds,0
