viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691434800,298.09,42,6.51,0,5,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691438400,298.99,40,6.86,0,5,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691442000,299.35,38,7.11,0,5,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691445600,299.78,36,7.65,0,5,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691449200,299.8,36,7.68,0,5,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691452800,300.24,36,6.97,0,1,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691456400,299.8,36,6.95,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691460000,299.27,37,6.7,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691463600,298.15,40,6.36,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691467200,296.55,43,5.69,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691470800,294.33,49,4.5,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691474400,292.3,53,4.56,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691478000,291.68,53,4.77,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691481600,291.19,53,5,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691485200,290.31,54,4.65,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691488800,289.32,56,4.13,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691492400,288.18,59,3.75,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691496000,286.88,66,2.87,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691499600,287.15,65,2.62,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691503200,288.76,59,3.09,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691506800,290.86,52,4.43,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691510400,292.24,49,4.62,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691514000,293.49,47,5.38,0,0,Clear,clear sky,0
"viirs_point_630255_2023-08-09 00:00:00_64.77653,-125.70979",1691517600,295.01,45,5.67,0,0,Clear,clear sky,0
