viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696500000,305.99,10,3.62,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696503600,306.42,10,4.77,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696507200,305.74,12,6.42,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696510800,304.34,15,7.2,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696514400,301.97,21,7.2,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696518000,298.4,32,6.2,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696521600,295.79,47,4.63,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696525200,293.54,65,3.87,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696528800,292.03,76,3.23,0,0,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696532400,291.04,81,2.98,0,9,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696536000,290.27,84,2.97,0,11,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696539600,289.34,85,2.84,0,12,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696543200,288.68,86,2.84,0,10,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696546800,288.1,87,2.88,0,10,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696550400,287.52,88,2.98,0,16,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696554000,287.05,89,2.81,0,21,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696557600,286.6,89,2.76,0,19,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696561200,286.72,87,2.81,0,19,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696564800,289.83,68,2.78,0,19,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696568400,293.81,46,2.48,0,15,Clouds,few clouds,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696572000,297.99,29,2.03,0,9,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696575600,301.6,19,1.68,0,1,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696579200,304.33,13,1.4,0,1,Clear,clear sky,0
"viirs_point_924551_2023-10-07 00:00:00_-21.19595,46.75522",1696582800,306.22,10,1.38,0,0,Clear,clear sky,0
