viirs_point,dt,temperature,humidity,wind_speed,rain,clouds,weather_main,weather_description,fire
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696791600,305,24,3.08,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696795200,304.59,25,3.16,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696798800,303.32,28,3.26,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696802400,298.8,39,2.97,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696806000,296.6,46,3.36,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696809600,295.02,51,3,0,1,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696813200,294.25,54,2.99,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696816800,293.4,58,2.6,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696820400,292.51,61,2.45,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696824000,291.82,64,2.43,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696827600,291.18,66,2.44,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696831200,290.45,70,2.03,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696834800,290.17,71,2.36,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696838400,289.8,73,2.15,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696842000,289.5,75,2.05,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696845600,289.7,76,2.33,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696849200,292.97,66,3.25,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696852800,296.95,52,3.4,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696856400,300.43,39,3.04,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696860000,303.42,27,3.08,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696863600,305.61,21,3.15,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696867200,307.03,18,3.13,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696870800,307.86,16,3.23,0,0,Clear,clear sky,0
"viirs_point_940912_2023-10-10 00:00:00_-24.67258,-60.7023",1696874400,308.58,14,3.28,0,0,Clear,clear sky,0
